거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,도원동,단독다가구,404.0812203252854
2014,1Q,도원동,아파트,599.6312753491386
2014,1Q,도화동,단독다가구,361.1904079327327
2014,1Q,도화동,아파트,556.5448131110861
2014,1Q,도화동,연립다세대,432.7949859631558
2014,1Q,도화동,오피스텔,538.5747998297677
2014,1Q,독산동,단독다가구,263.5689815994917
2014,1Q,독산동,아파트,373.7651943627188
2014,1Q,독산동,연립다세대,345.63484715551516
2014,1Q,독산동,오피스텔,336.4239525091591
2014,1Q,돈암동,단독다가구,200.20020020020021
2014,1Q,돈암동,아파트,424.5863363957484
2014,1Q,돈암동,연립다세대,343.84183713260376
2014,1Q,동교동,단독다가구,748.6610695859024
2014,1Q,동교동,연립다세대,397.6861894432393
2014,1Q,동교동,오피스텔,509.5030194545629
2014,1Q,동빙고동,단독다가구,1015.0316943265344
2014,1Q,동빙고동,아파트,459.3929450369155
2014,1Q,동빙고동,연립다세대,881.5472796998802
2014,1Q,동선동1가,아파트,481.283422459893
2014,1Q,동선동2가,단독다가구,272.3067484270379
2014,1Q,동선동2가,연립다세대,106.02205258693809
2014,1Q,동선동3가,단독다가구,273.8025700934579
2014,1Q,동선동3가,아파트,292.96875
2014,1Q,동선동3가,연립다세대,306.6851681605357
2014,1Q,동선동4가,단독다가구,388.3495145631068
2014,1Q,동선동4가,아파트,389.77881433819505
2014,1Q,동선동4가,오피스텔,610.9976932613711
2014,1Q,동선동5가,단독다가구,352.91152004033273
2014,1Q,동선동5가,연립다세대,411.05138448986264
2014,1Q,동소문동1가,연립다세대,307.19891807376
2014,1Q,동소문동4가,단독다가구,577.4783445620789
2014,1Q,동소문동4가,아파트,421.6554897515771
2014,1Q,동소문동4가,연립다세대,351.7493530097716
2014,1Q,동소문동4가,오피스텔,371.8174943282077
2014,1Q,동소문동5가,아파트,518.5718641007581
2014,1Q,동소문동6가,단독다가구,295.2814031772279
2014,1Q,동소문동6가,연립다세대,273.5978112175103
2014,1Q,동소문동7가,아파트,531.7392295279927
2014,1Q,동소문동7가,연립다세대,360.998698346423
2014,1Q,동숭동,단독다가구,628.8238534375505
2014,1Q,동숭동,연립다세대,295.0187892490413
2014,1Q,동자동,아파트,709.801029437833
2014,1Q,동자동,연립다세대,683.4650497431549
2014,1Q,동작동,단독다가구,614.7329269552639
2014,1Q,동작동,아파트,705.835119047302
2014,1Q,동작동,연립다세대,486.8570972411238
2014,1Q,둔촌동,단독다가구,338.97713315377797
2014,1Q,둔촌동,아파트,685.2077261951388
2014,1Q,둔촌동,연립다세대,462.1516979107961
2014,1Q,등촌동,단독다가구,441.73944222510704
2014,1Q,등촌동,아파트,457.99753646048663
2014,1Q,등촌동,연립다세대,397.3681740681889
2014,1Q,등촌동,오피스텔,479.7058392018294
2014,1Q,마곡동,아파트,462.99343740762356
2014,1Q,마곡동,연립다세대,552.0504731861199
2014,1Q,마장동,단독다가구,370.7796104592844
2014,1Q,마장동,아파트,493.35326675967997
2014,1Q,마장동,연립다세대,734.4593040908301
2014,1Q,마천동,단독다가구,294.4519644584525
2014,1Q,마천동,아파트,514.6906505158598
2014,1Q,마천동,연립다세대,471.32133570261567
2014,1Q,마포동,아파트,578.1605663918352
