,거래년도,시,구,동,평균공시지가,공시지가분산
192,2014,서울,성북구,성북동,1883210.0,962187.0
193,2014,서울,성북구,성북동1가,2603262.0,1027233.0
194,2014,서울,성북구,안암동1가,2497268.0,696661.0
195,2014,서울,성북구,안암동2가,2440531.0,895528.0
196,2014,서울,성북구,안암동3가,2162985.0,661741.0
197,2014,서울,성북구,안암동4가,2829569.0,873955.0
198,2014,서울,성북구,안암동5가,2640677.0,1530072.0
199,2014,서울,성북구,장위동,2155817.0,836377.0
200,2014,서울,성북구,정릉동,1576565.0,889012.0
201,2014,서울,성북구,종암동,1857601.0,963241.0
202,2014,서울,성북구,하월곡동,2381296.0,1305354.0
203,2014,서울,송파구,가락동,4560103.0,2700671.0
204,2014,서울,송파구,거여동,3289492.0,1537758.0
205,2014,서울,송파구,마천동,2825183.0,1574897.0
206,2014,서울,송파구,문정동,3753824.0,1941286.0
207,2014,서울,송파구,방이동,4405586.0,2801825.0
208,2014,서울,송파구,삼전동,4189134.0,2044577.0
209,2014,서울,송파구,석촌동,4695237.0,2749004.0
210,2014,서울,송파구,송파동,4336797.0,2621305.0
211,2014,서울,송파구,신천동,5607099.0,7642131.0
212,2014,서울,송파구,오금동,3550532.0,1781695.0
213,2014,서울,송파구,잠실동,5616260.0,3592877.0
214,2014,서울,송파구,장지동,1056745.0,1116104.0
215,2014,서울,송파구,풍납동,2107666.0,1324745.0
216,2014,서울,양천구,목동,2512108.0,1442127.0
217,2014,서울,양천구,신월동,1945703.0,888369.0
218,2014,서울,양천구,신정동,2532069.0,1436732.0
219,2014,서울,영등포구,당산동,1193169.0,1283624.0
220,2014,서울,영등포구,당산동1가,2895025.0,1344162.0
221,2014,서울,영등포구,당산동2가,3381865.0,1421563.0
222,2014,서울,영등포구,당산동3가,3269648.0,1496460.0
223,2014,서울,영등포구,당산동4가,2847922.0,981089.0
224,2014,서울,영등포구,당산동5가,2957879.0,1755308.0
225,2014,서울,영등포구,당산동6가,2618403.0,1458820.0
226,2014,서울,영등포구,대림동,1948176.0,943699.0
227,2014,서울,영등포구,도림동,2018554.0,903094.0
228,2014,서울,영등포구,문래동1가,2444048.0,1131033.0
229,2014,서울,영등포구,문래동2가,2843230.0,929725.0
230,2014,서울,영등포구,문래동3가,3004861.0,1190888.0
231,2014,서울,영등포구,문래동4가,2781650.0,837027.0
232,2014,서울,영등포구,문래동5가,1647966.0,1197132.0
233,2014,서울,영등포구,문래동6가,2627607.0,1147952.0
234,2014,서울,영등포구,신길동,2359493.0,1063012.0
235,2014,서울,영등포구,양평동,280000.0,0.0
236,2014,서울,영등포구,양평동1가,3025317.0,921699.0
237,2014,서울,영등포구,양평동2가,2573426.0,1045458.0
238,2014,서울,영등포구,양평동3가,2339351.0,964526.0
239,2014,서울,영등포구,양평동4가,2989973.0,1274593.0
240,2014,서울,영등포구,양평동5가,2761538.0,943063.0
241,2014,서울,영등포구,양평동6가,2260273.0,641741.0
242,2014,서울,영등포구,양화동,346336.0,144403.0
243,2014,서울,영등포구,여의도동,5314105.0,3694767.0
244,2014,서울,영등포구,영등포동,2003792.0,1229269.0
245,2014,서울,영등포구,영등포동1가,2823642.0,1482105.0
246,2014,서울,영등포구,영등포동2가,3939323.0,1931948.0
247,2014,서울,영등포구,영등포동3가,9095667.0,4912738.0
248,2014,서울,영등포구,영등포동4가,6021812.0,4514993.0
249,2014,서울,영등포구,영등포동5가,5292217.0,3044051.0
250,2014,서울,영등포구,영등포동6가,3846559.0,2657600.0
251,2014,서울,영등포구,영등포동7가,3079028.0,1287406.0
252,2014,서울,영등포구,영등포동8가,2780304.0,1104027.0
253,2014,서울,용산구,갈월동,4975599.0,3496910.0
254,2014,서울,용산구,남영동,7261617.0,3141156.0
255,2014,서울,용산구,도원동,3636614.0,1431606.0
256,2014,서울,용산구,동빙고동,4072338.0,1263470.0
257,2014,서울,용산구,동자동,6542904.0,4466227.0
258,2014,서울,용산구,문배동,4579133.0,2592208.0
259,2014,서울,용산구,보광동,4155217.0,1281454.0
260,2014,서울,용산구,산천동,2567193.0,1327347.0
261,2014,서울,용산구,서계동,3096073.0,1407905.0
262,2014,서울,용산구,서빙고동,2525585.0,1375844.0
263,2014,서울,용산구,신계동,4549899.0,1753232.0
264,2014,서울,용산구,신창동,2518761.0,926831.0
265,2014,서울,용산구,용문동,3440166.0,1601571.0
266,2014,서울,용산구,용산동1가,2004325.0,428577.0
267,2014,서울,용산구,용산동2가,2296554.0,971713.0
268,2014,서울,용산구,용산동3가,5279642.0,2306393.0
269,2014,서울,용산구,용산동4가,1896164.0,243455.0
270,2014,서울,용산구,용산동5가,3959319.0,3942025.0
271,2014,서울,용산구,용산동6가,1864514.0,1187806.0
272,2014,서울,용산구,원효로1가,3679717.0,2022724.0
273,2014,서울,용산구,원효로2가,4111198.0,2094034.0
274,2014,서울,용산구,원효로3가,3653449.0,1652236.0
275,2014,서울,용산구,원효로4가,3081671.0,1506055.0
