구,거래년도,거래분기,APT매매
구로구,2020,2Q,74.93550933333334
구로구,2020,3Q,78.96163933333334
구로구,2020,4Q,82.976089
구로구,2021,1Q,87.03840533333334
구로구,2021,2Q,90.56408166666665
구로구,2021,3Q,95.02022266666667
구로구,2021,4Q,99.07611200000001
구로구,2022,1Q,100.05676354999999
구로구,2022,2Q,100.35477115343333
구로구,2022,3Q,100.3794360545
구로구,2022,4Q,98.37222321806667
구로구,2023,1Q,93.0915775571
구로구,2023,2Q,89.49108596396667
구로구,2023,3Q,87.94192750666667
구로구,2023,4Q,87.84257702333333
구로구,2024,1Q,87.52884386
구로구,2024,2Q,87.26650149333334
구로구,2024,3Q,87.47472325
금천구,2014,3Q,59.5466335
금천구,2014,4Q,60.007921333333336
금천구,2015,1Q,60.327586
금천구,2015,2Q,61.00544933333333
금천구,2015,3Q,61.57071166666666
금천구,2015,4Q,62.42473566666666
금천구,2016,1Q,62.721920000000004
금천구,2016,2Q,62.98853866666667
금천구,2016,3Q,63.662964666666674
금천구,2016,4Q,64.12167333333333
금천구,2017,1Q,64.29117333333333
금천구,2017,2Q,64.68751766666666
금천구,2017,3Q,65.99625999999999
금천구,2017,4Q,67.154862
금천구,2018,1Q,68.14716566666667
금천구,2018,2Q,68.63449666666666
금천구,2018,3Q,70.30689633333333
금천구,2018,4Q,73.934185
금천구,2019,1Q,74.095781
금천구,2019,2Q,74.09823766666666
금천구,2019,3Q,74.62036333333333
금천구,2019,4Q,76.26079266666666
금천구,2020,1Q,78.93063933333333
금천구,2020,2Q,80.93780466666666
금천구,2020,3Q,84.079978
금천구,2020,4Q,87.33694833333334
금천구,2021,1Q,89.94401833333332
금천구,2021,2Q,92.07761599999999
금천구,2021,3Q,96.13511533333333
금천구,2021,4Q,99.048089
금천구,2022,1Q,100.23596925666668
금천구,2022,2Q,101.00735077043333
금천구,2022,3Q,101.44208225003332
금천구,2022,4Q,99.89161670773335
금천구,2023,1Q,95.53226344303334
금천구,2023,2Q,92.91847810783334
금천구,2023,3Q,91.88955964333333
금천구,2023,4Q,91.7167577
금천구,2024,1Q,90.87896544666667
금천구,2024,2Q,89.72936965333334
금천구,2024,3Q,88.902167735
노원구,2014,3Q,50.5262955
노원구,2014,4Q,50.879619999999996
노원구,2015,1Q,51.183162
노원구,2015,2Q,51.905952000000006
노원구,2015,3Q,52.552491333333336
노원구,2015,4Q,53.561002
노원구,2016,1Q,53.903485999999994
노원구,2016,2Q,54.167082666666666
노원구,2016,3Q,54.71350833333333
노원구,2016,4Q,55.55128766666667
노원구,2017,1Q,55.92940333333333
노원구,2017,2Q,56.362609666666664
노원구,2017,3Q,58.098354666666665
노원구,2017,4Q,58.547676333333335
노원구,2018,1Q,59.08435533333333
노원구,2018,2Q,59.868036
노원구,2018,3Q,61.50017366666666
노원구,2018,4Q,65.35954766666667
노원구,2019,1Q,65.52795933333333
노원구,2019,2Q,65.42499299999999
노원구,2019,3Q,65.87376733333333
노원구,2019,4Q,66.33320433333334
노원구,2020,1Q,67.28408233333333
노원구,2020,2Q,68.37373000000001
노원구,2020,3Q,74.12979533333333
노원구,2020,4Q,79.06960866666667
노원구,2021,1Q,84.798007
노원구,2021,2Q,89.830941
노원구,2021,3Q,95.38164366666666
노원구,2021,4Q,99.26467933333333
노원구,2022,1Q,100.02257915
노원구,2022,2Q,99.92710093716668
노원구,2022,3Q,99.4564249973
노원구,2022,4Q,95.78639297073335
노원구,2023,1Q,90.19402952310001
노원구,2023,2Q,86.81176129593332
노원구,2023,3Q,85.02351261
노원구,2023,4Q,84.45381547333334
노원구,2024,1Q,83.70412005666667
노원구,2024,2Q,83.04853635333333
노원구,2024,3Q,82.39491490500001
도봉구,2014,3Q,55.7565375
도봉구,2014,4Q,55.967939666666666
도봉구,2015,1Q,56.213605
도봉구,2015,2Q,56.769434999999994
도봉구,2015,3Q,57.678306666666664
도봉구,2015,4Q,58.72491266666666
도봉구,2016,1Q,59.044659
도봉구,2016,2Q,59.18679766666667
도봉구,2016,3Q,59.72731100000001
도봉구,2016,4Q,60.26557033333333
도봉구,2017,1Q,60.48676333333333
도봉구,2017,2Q,60.78516033333333
도봉구,2017,3Q,62.34566066666667
도봉구,2017,4Q,63.12296166666667
도봉구,2018,1Q,63.91642933333333
도봉구,2018,2Q,65.05894133333334
도봉구,2018,3Q,67.09840533333333
도봉구,2018,4Q,71.33765533333333
도봉구,2019,1Q,71.682777
도봉구,2019,2Q,71.63689466666666
도봉구,2019,3Q,72.015759
도봉구,2019,4Q,72.3811
도봉구,2020,1Q,72.84151433333334
도봉구,2020,2Q,73.14345900000001
도봉구,2020,3Q,77.299425
도봉구,2020,4Q,81.81033233333333
도봉구,2021,1Q,86.13513866666666
도봉구,2021,2Q,91.494192
도봉구,2021,3Q,96.57068333333332
도봉구,2021,4Q,99.58426566666667
도봉구,2022,1Q,100.07257395666666
도봉구,2022,2Q,100.38528131700001
도봉구,2022,3Q,99.78425823420001
도봉구,2022,4Q,95.42801732463333
도봉구,2023,1Q,90.20315454606667
도봉구,2023,2Q,86.78754825723333
도봉구,2023,3Q,83.99925746333334
도봉구,2023,4Q,83.31991704
도봉구,2024,1Q,82.35251487333333
도봉구,2024,2Q,81.37176827333333
도봉구,2024,3Q,80.923198775
동대문구,2014,3Q,59.0333545
동대문구,2014,4Q,59.200236999999994
동대문구,2015,1Q,59.407409333333334
동대문구,2015,2Q,60.096911666666664
동대문구,2015,3Q,60.899019333333335
동대문구,2015,4Q,61.663431333333335
동대문구,2016,1Q,62.12833966666667
동대문구,2016,2Q,62.46493833333333
동대문구,2016,3Q,63.039232999999996
동대문구,2016,4Q,64.03688033333333
동대문구,2017,1Q,64.31391733333334
동대문구,2017,2Q,64.551727
동대문구,2017,3Q,65.71087533333333
동대문구,2017,4Q,66.55617033333333
동대문구,2018,1Q,67.999542
동대문구,2018,2Q,69.78669866666667
동대문구,2018,3Q,71.93090133333334
동대문구,2018,4Q,76.04476066666666
동대문구,2019,1Q,76.21394266666667
동대문구,2019,2Q,76.004769
동대문구,2019,3Q,76.370452
동대문구,2019,4Q,77.28162633333334
동대문구,2020,1Q,78.17189766666667
동대문구,2020,2Q,78.98623833333333
동대문구,2020,3Q,81.68913433333334
동대문구,2020,4Q,84.72337166666667
동대문구,2021,1Q,89.101098
동대문구,2021,2Q,92.37674266666666
동대문구,2021,3Q,96.33567599999999
동대문구,2021,4Q,99.46297333333332
동대문구,2022,1Q,99.91374547
동대문구,2022,2Q,100.05679352716668
동대문구,2022,3Q,99.79177817930001
동대문구,2022,4Q,96.73536131706668
동대문구,2023,1Q,91.45789233446665
동대문구,2023,2Q,88.39966532293333
동대문구,2023,3Q,87.28540153666667
동대문구,2023,4Q,87.34969444666666
동대문구,2024,1Q,86.89052717666668
동대문구,2024,2Q,86.39829611
동대문구,2024,3Q,87.210206895
동작구,2014,3Q,53.631344
동작구,2014,4Q,53.86436533333333
동작구,2015,1Q,54.060931000000004
동작구,2015,2Q,54.84903433333333
동작구,2015,3Q,55.753908
동작구,2015,4Q,57.00738033333334
동작구,2016,1Q,57.45943166666667
동작구,2016,2Q,57.687358999999994
동작구,2016,3Q,58.35921199999999
동작구,2016,4Q,59.20880533333334
동작구,2017,1Q,59.505642333333334
동작구,2017,2Q,59.90494
동작구,2017,3Q,61.70523466666666
동작구,2017,4Q,62.609226666666665
동작구,2018,1Q,64.25264533333333
동작구,2018,2Q,66.29977766666666
동작구,2018,3Q,69.359758
동작구,2018,4Q,73.41209133333332
동작구,2019,1Q,73.782895
동작구,2019,2Q,73.65136566666666
동작구,2019,3Q,73.92865866666666
동작구,2019,4Q,74.834715
동작구,2020,1Q,76.692967
동작구,2020,2Q,77.59760366666667
동작구,2020,3Q,80.55896666666666
동작구,2020,4Q,83.49572533333333
동작구,2021,1Q,88.82176966666667
동작구,2021,2Q,92.958189
동작구,2021,3Q,96.86570666666667
동작구,2021,4Q,99.28064466666666
동작구,2022,1Q,100.02841785
동작구,2022,2Q,100.51679356080001
동작구,2022,3Q,100.69493897253334
동작구,2022,4Q,99.28647730916667
동작구,2023,1Q,95.51625509306666
동작구,2023,2Q,91.12972423046666
동작구,2023,3Q,90.30344407333332
동작구,2023,4Q,90.64115920666666
