거래년도,거래분기,동,총직장인구수
2019,1Q,남대문로3가,48308
2019,1Q,남대문로3가,6281
2019,1Q,남대문로3가,109
2019,1Q,남대문로3가,288
2019,1Q,남대문로3가,8144
2019,1Q,남대문로3가,1673
2019,1Q,남대문로3가,174313
2019,1Q,남대문로4가,3583
2019,1Q,남대문로4가,3018
2019,1Q,남대문로4가,28044
2019,1Q,남대문로4가,1107
2019,1Q,남대문로4가,31101
2019,1Q,남대문로4가,9258
2019,1Q,남대문로4가,6341
2019,1Q,남대문로4가,48308
2019,1Q,남대문로4가,6281
2019,1Q,남대문로4가,109
2019,1Q,남대문로4가,288
2019,1Q,남대문로4가,8144
2019,1Q,남대문로4가,1673
2019,1Q,남대문로4가,174313
2019,1Q,남대문로5가,3583
2019,1Q,남대문로5가,3018
2019,1Q,남대문로5가,1107
2019,1Q,남대문로5가,31101
2019,1Q,남대문로5가,1673
2019,1Q,남대문로5가,109
2019,1Q,남대문로5가,288
2019,1Q,남산동1가,19483
2019,1Q,남산동1가,1211
2019,1Q,남산동1가,57558
2019,1Q,남산동1가,26581
2019,1Q,남산동1가,24193
2019,1Q,남산동1가,16089
2019,1Q,남산동1가,20441
2019,1Q,남산동2가,19483
2019,1Q,남산동2가,1211
2019,1Q,남산동2가,57558
2019,1Q,남산동2가,26581
2019,1Q,남산동2가,24193
2019,1Q,남산동2가,16089
2019,1Q,남산동2가,20441
2019,1Q,남산동3가,19483
2019,1Q,남산동3가,1211
2019,1Q,남산동3가,57558
2019,1Q,남산동3가,26581
2019,1Q,남산동3가,24193
2019,1Q,남산동3가,16089
2019,1Q,남산동3가,20441
2019,1Q,남영동,12138
2019,1Q,남영동,10512
2019,1Q,남영동,2104
2019,1Q,남영동,3688
2019,1Q,남창동,3583
2019,1Q,남창동,3018
2019,1Q,남창동,1107
2019,1Q,남창동,31101
2019,1Q,남창동,1673
2019,1Q,남창동,109
2019,1Q,남창동,288
2019,1Q,남학동,14888
2019,1Q,남학동,24
2019,1Q,남학동,1456
2019,1Q,남현동,1760
2019,1Q,내곡동,228
2019,1Q,내곡동,84
2019,1Q,내곡동,90
2019,1Q,내곡동,218
2019,1Q,내발산동,320
2019,1Q,내발산동,587
2019,1Q,내발산동,1174
2019,1Q,내발산동,1823
2019,1Q,내발산동,303
2019,1Q,내발산동,253
2019,1Q,내발산동,327
2019,1Q,내발산동,1435
2019,1Q,내수동,2631
2019,1Q,내수동,82918
2019,1Q,내수동,521
2019,1Q,내수동,190
2019,1Q,내수동,2281
2019,1Q,내수동,87
2019,1Q,내자동,2631
2019,1Q,내자동,82918
2019,1Q,내자동,521
2019,1Q,내자동,190
2019,1Q,내자동,2281
2019,1Q,내자동,87
2019,1Q,냉천동,270
2019,1Q,냉천동,138
2019,1Q,노고산동,942
2019,1Q,노고산동,8224
2019,1Q,노고산동,3068
2019,1Q,노고산동,9832
2019,1Q,노고산동,15575
2019,1Q,노고산동,38
2019,1Q,노고산동,91
2019,1Q,노고산동,333
2019,1Q,노고산동,381
2019,1Q,노고산동,1617
2019,1Q,노고산동,200
2019,1Q,노고산동,685
2019,1Q,노고산동,928
2019,1Q,노고산동,174
2019,1Q,노고산동,2097
2019,1Q,노고산동,582
2019,1Q,노고산동,1285
2019,1Q,노량진동,2962
2019,1Q,노량진동,612
2019,1Q,노량진동,413
2019,1Q,노량진동,138
2019,1Q,노량진동,30
2019,1Q,노량진동,5979
2019,1Q,노량진동,152
2019,1Q,노량진동,61
2019,1Q,노량진동,65
2019,1Q,녹번동,862
2019,1Q,녹번동,364
2019,1Q,녹번동,679
2019,1Q,녹번동,76
2019,1Q,녹번동,259
2019,1Q,논현동,164
2019,1Q,논현동,14014
2019,1Q,논현동,9764
2019,1Q,논현동,344
2019,1Q,논현동,146
2019,1Q,논현동,1800
2019,1Q,논현동,1003
2019,1Q,논현동,13124
2019,1Q,논현동,2558
2019,1Q,논현동,532
2019,1Q,논현동,1681
2019,1Q,논현동,1453
2019,1Q,논현동,955
2019,1Q,논현동,17447
2019,1Q,논현동,1148
2019,1Q,논현동,15853
2019,1Q,논현동,20072
2019,1Q,누상동,282
2019,1Q,누상동,815
2019,1Q,누상동,69
2019,1Q,누상동,184
2019,1Q,누상동,129
2019,1Q,누하동,282
2019,1Q,누하동,815
2019,1Q,누하동,69
2019,1Q,누하동,184
2019,1Q,누하동,129
2019,1Q,능동,693
2019,1Q,능동,499
2019,1Q,다동,19483
2019,1Q,다동,1211
2019,1Q,다동,57558
2019,1Q,다동,26581
2019,1Q,다동,24193
2019,1Q,다동,16089
2019,1Q,다동,20441
2019,1Q,답십리동,239
2019,1Q,답십리동,358
2019,1Q,답십리동,905
2019,1Q,답십리동,362
2019,1Q,답십리동,40
2019,1Q,답십리동,623
2019,1Q,답십리동,251
2019,1Q,답십리동,660
2019,1Q,답십리동,257
2019,1Q,답십리동,86
2019,1Q,답십리동,434
2019,1Q,당산동,211
2019,1Q,당산동,3239
2019,1Q,당산동,15614
2019,1Q,당산동,9856
2019,1Q,당산동,661
2019,1Q,당산동1가,1875
2019,1Q,당산동1가,685
2019,1Q,당산동1가,10104
2019,1Q,당산동1가,1091
2019,1Q,당산동1가,1194
2019,1Q,당산동1가,2219
2019,1Q,당산동1가,507
2019,1Q,당산동2가,1875
2019,1Q,당산동2가,685
2019,1Q,당산동2가,10104
2019,1Q,당산동2가,1091
